ID,Number_of_Drinks,Arrival_Time,Turnaround_Time,Response_Time,Waiting_Time,Throughput
1,5,174,352,55,2,14.2
0,3,292,668,248,238,4.49
2,3,341,831,831,621,3.61
3,3,516,917,917,657,3.27
4,3,573,1251,870,861,2.4
6,4,690,1515,1315,1135,2.64
5,1,767,1528,1528,1438,0.65
7,1,809,1983,1983,1483,0.5
10,1,1024,1893,1893,1773,0.53
8,3,1035,2371,2070,1881,1.27
9,5,1043,2819,2377,2369,1.77
11,4,1275,2758,2627,2588,1.45
12,4,1336,3527,2706,2697,1.13
13,3,1463,3809,3689,3399,0.79
14,2,1521,4453,3953,3753,0.45
15,5,1654,5082,4361,4322,0.98
17,5,1883,5472,5352,4852,0.91
16,2,1895,5523,5473,5463,0.36
18,5,1921,6138,5826,5498,0.81
19,4,2025,6695,6644,6035,0.6
20,4,2059,7343,6672,6663,0.54
22,5,2335,7799,7712,7079,0.64
21,4,2366,8232,8200,7792,0.49
25,4,2554,8448,8132,8058,0.47
23,2,2567,8595,8500,8455,0.23
26,4,2605,9319,8608,8599,0.43
24,4,2648,9875,9434,9325,0.41
27,5,2946,9869,9838,9609,0.51
29,2,3009,9966,9966,9816,0.2
28,4,3012,10639,10037,9989,0.38
30,3,3091,11057,10654,10577,0.27
33,3,3319,11207,11127,10847,0.27
31,1,3389,11446,11446,11146,0.09
32,2,3405,11755,11755,11455,0.17
35,2,3563,11929,11929,11619,0.17
34,3,3645,12179,11859,11859,0.25
36,4,3702,12449,12142,12149,0.32
37,3,3757,12685,12421,12405,0.24
38,5,3989,13226,12490,12486,0.38
39,2,4129,13338,13128,13108,0.15
40,1,4159,13338,13338,13308,0.07
41,4,4268,13832,13292,13272,0.29
42,2,4414,13928,13928,13708,0.14
44,4,4530,14695,14404,13835,0.27
43,1,4570,14773,14773,14653,0.07
45,1,4726,14697,14697,14617,0.07
46,4,4771,15097,14680,14657,0.26
48,5,4825,16412,15175,15092,0.3
47,5,4941,17004,16816,16344,0.29
50,1,5070,16894,16894,16884,0.06
49,3,5186,17083,16856,16793,0.18
52,2,5224,17379,17379,17059,0.12
51,1,5344,17565,17565,17265,0.06
53,1,5477,17943,17943,17443,0.06
54,3,5554,18236,18107,17886,0.16
55,5,5650,18659,18659,18169,0.27
56,2,5848,18593,18496,18473,0.11
57,3,5957,19001,18694,18511,0.16
59,3,5996,19190,18997,18980,0.16
58,2,6090,19735,19735,19115,0.1
62,2,6237,19816,19604,19606,0.1
60,1,6249,19934,19934,19814,0.05
61,2,6258,20636,20636,19936,0.1
63,5,6554,20887,20404,20377,0.24
64,4,6656,21348,21348,20798,0.19
65,2,6791,21787,21277,21237,0.09
66,2,6806,21951,21853,21781,0.09
67,3,6862,22581,22581,21931,0.13
68,1,6913,22606,22606,22526,0.04
69,5,7190,22951,22393,22371,0.22
70,1,7200,22957,22957,22947,0.04
71,4,7219,23307,22971,22967,0.17
73,5,7372,23515,23234,23195,0.21
72,2,7460,23579,23483,23439,0.08
76,2,7619,23613,23613,23433,0.08
74,2,7697,23718,23718,23548,0.08
75,5,7722,24470,24470,23720,0.2
77,3,7787,24963,24424,24423,0.12
79,5,7955,26239,25321,24829,0.19
78,1,8039,26463,26463,26163,0.04
80,1,8216,26601,26601,26301,0.04
81,4,8228,27285,27285,26635,0.15
82,4,8232,28085,27312,27305,0.14
84,5,8433,28814,28717,27924,0.17
83,5,8598,29614,28668,28694,0.17
86,5,8645,29904,29580,29604,0.17
85,2,8687,29961,29961,29871,0.07
88,1,8887,29793,29793,29763,0.03
87,5,8925,30581,30372,29771,0.16
89,3,9018,31040,30600,30520,0.1
90,5,9022,31741,31132,31061,0.16
91,4,9170,32375,31622,31615,0.12
92,2,9391,32593,32593,32173,0.06
93,4,9393,33149,33149,32629,0.12
94,3,9509,33337,33048,33047,0.09
95,2,9524,33545,33545,33335,0.06
96,2,9743,33922,33408,33342,0.06
97,2,9803,34680,34680,33880,0.06
98,5,9836,35783,35783,34683,0.14
99,4,10112,35772,35772,35542,0.11
,,,,,,
Total_Time (s),,,,,,
45.9,,,,,,
